"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"1430","faUQnyuIb94","no they don&#39;t deserve equal pay because they don&#39;t play at the same level as the men","no they don't deserve equal pay because they don't play at the same level as the men","Ryan Nicholson","https://yt3.ggpht.com/a/AATXAJwJu8kJxcAEXI-GU1Z4KSQfQmKqEElzqGmx8w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCPaiJZmMZtI1chKhL4eLHfA","UCPaiJZmMZtI1chKhL4eLHfA","TRUE","none","1","2019-07-09T20:16:03Z","2019-07-09T20:16:03Z","UgzIKBUXOgmE0A8z56Z4AaABAg.8xAcyjjLqCm8xAtE8yvOIq","UgzIKBUXOgmE0A8z56Z4AaABAg",NA
"1431","faUQnyuIb94","rovershut22 Fight for equal pay? I don’t know the laws of your country, but it’s been the law here in America for 50 years or so that women get equal pay for equal work. <br /><br />In fact, if there is any argument to be had about equal pay, it’s the men’s team that should be fighting for equal pay. In the last mens World Cup, they only got 7% of the total pie they generated in revenue while the women will get to bring home 23% of their pie. Furthermore, the women get an annual salary from the federation while the men don’t. I see so many people spouting off about equal pay and they say that the men got $400M while the women only got $30M. Context is a wonderful thing, because they always fail to mention that the men’s share came from a total of $6B while the women’s share came from a total of $130M. The women are already making 3x more than the men on a percentage basis, plus the annual salary. The reason they don’t make as much at the end of the day is simple supply and demand economics. If there isn’t as much demand for women’s soccer, then they’re not going to make as much as the men. <br /><br />Also, not even 2 years ago, the entire women’s team as individuals all signed a CBA that they negotiated for their pay. They have no one to blame but themselves for A, not asking for more (which they really can’t do without bankrupting the federation) and B, not drawing crowds like the men do. If people want them to make more money then they should watch them and spend money on them.","rovershut22 Fight for equal pay? I don’t know the laws of your country, but it’s been the law here in America for 50 years or so that women get equal pay for equal work. 

In fact, if there is any argument to be had about equal pay, it’s the men’s team that should be fighting for equal pay. In the last mens World Cup, they only got 7% of the total pie they generated in revenue while the women will get to bring home 23% of their pie. Furthermore, the women get an annual salary from the federation while the men don’t. I see so many people spouting off about equal pay and they say that the men got $400M while the women only got $30M. Context is a wonderful thing, because they always fail to mention that the men’s share came from a total of $6B while the women’s share came from a total of $130M. The women are already making 3x more than the men on a percentage basis, plus the annual salary. The reason they don’t make as much at the end of the day is simple supply and demand economics. If there isn’t as much demand for women’s soccer, then they’re not going to make as much as the men. 

Also, not even 2 years ago, the entire women’s team as individuals all signed a CBA that they negotiated for their pay. They have no one to blame but themselves for A, not asking for more (which they really can’t do without bankrupting the federation) and B, not drawing crowds like the men do. If people want them to make more money then they should watch them and spend money on them.","Darth Silver Sith","https://yt3.ggpht.com/a/AATXAJws2aEjY2dUfYgMVbwW016L7xrJj8ECgci7dQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCNmqllv6lGGw8Y3rfK759FQ","UCNmqllv6lGGw8Y3rfK759FQ","TRUE","none","0","2019-07-12T00:35:58Z","2019-07-12T00:35:58Z","Ugwc7aKFi9zOUQS7hyp4AaABAg.8xAcYQIYazD8xGVZfYu96m","Ugwc7aKFi9zOUQS7hyp4AaABAg",NA
"1432","faUQnyuIb94","Thank you.  I thought the Dutch put up a good fight.  Your goalkeeper was incredible.","Thank you.  I thought the Dutch put up a good fight.  Your goalkeeper was incredible.","Christopher Casey","https://yt3.ggpht.com/a/AATXAJzpXmDLnpQUwy3ipRgL4sAdQQpjneRIaax7Pg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCn7ofwMhrR8lS6lF0qdAciw","UCn7ofwMhrR8lS6lF0qdAciw","TRUE","none","3","2019-07-11T10:33:07Z","2019-07-11T10:33:07Z","Ugwc7aKFi9zOUQS7hyp4AaABAg.8xAcYQIYazD8xF-6MBxwLO","Ugwc7aKFi9zOUQS7hyp4AaABAg",NA
"1433","faUQnyuIb94","@Mudig what do you mean we had 2 wonderfull teams who inspired the world and took womens soccer to a new level.. So many more girls are going to play soccer after watching this.And i hope the fight for equal pay will not be long any more! The strongest team won and congtulations for that.We will meet hopefully at the olympics again, greetings from the Netherlands","@Mudig what do you mean we had 2 wonderfull teams who inspired the world and took womens soccer to a new level.. So many more girls are going to play soccer after watching this.And i hope the fight for equal pay will not be long any more! The strongest team won and congtulations for that.We will meet hopefully at the olympics again, greetings from the Netherlands","rovershut22","https://yt3.ggpht.com/a/AATXAJxLsUUEIyz4Vvx6iiIfVgXOGyd141Ch76sJxg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCRAbUW6R6IQs8jQZl_SqKxQ","UCRAbUW6R6IQs8jQZl_SqKxQ","TRUE","none","0","2019-07-11T09:24:35Z","2019-07-11T09:24:35Z","Ugwc7aKFi9zOUQS7hyp4AaABAg.8xAcYQIYazD8xEsGWpY1pB","Ugwc7aKFi9zOUQS7hyp4AaABAg",NA
"1434","faUQnyuIb94","how pathetic.","how pathetic.","Mudig","https://yt3.ggpht.com/a/AATXAJw4v8Bd0EgWfpmJK1eOiiNwbj0zvU2PLHGnsg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCdCGPSHMMLk8SODTswoj5VQ","UCdCGPSHMMLk8SODTswoj5VQ","TRUE","none","3","2019-07-10T16:50:27Z","2019-07-10T16:50:27Z","Ugwc7aKFi9zOUQS7hyp4AaABAg.8xAcYQIYazD8xD5VEAyyHA","Ugwc7aKFi9zOUQS7hyp4AaABAg",NA
"1435","faUQnyuIb94","Most Hated Ungrateful Bitches","Most Hated Ungrateful Bitches","Paul Soxl","https://yt3.ggpht.com/a/AATXAJyl6wtRSCgD-SnhW7PPA9v6iCmtDxQj_s6y1w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCNBjUT6iq07waprS1ho0Fng","UCNBjUT6iq07waprS1ho0Fng","TRUE","none","0","2019-07-11T21:50:04Z","2019-07-11T21:50:04Z","UgySisTnA3_VPkjdSNp4AaABAg.8xAbwI79rQX8xGC_YILcrS","UgySisTnA3_VPkjdSNp4AaABAg",NA
"1436","faUQnyuIb94","They&#39;re nothing but a bunch of socialist parasites.","They're nothing but a bunch of socialist parasites.","Most Hated","https://yt3.ggpht.com/a/AATXAJwco0lqwm63T0pJ_AygedXFnzn2V6AGpey8Vg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCIpyqexAnbNcrkxAWixyqDw","UCIpyqexAnbNcrkxAWixyqDw","TRUE","none","1","2019-07-11T10:54:48Z","2019-07-11T10:54:48Z","UgySisTnA3_VPkjdSNp4AaABAg.8xAbwI79rQX8xF1aBAYGK0","UgySisTnA3_VPkjdSNp4AaABAg",NA
"1437","faUQnyuIb94","She has a girlfriend?","She has a girlfriend?","SportsPrincess","https://yt3.ggpht.com/a/AATXAJwx8gd-91mivt4YAgovoEcNNtpc6kIWAEfkcA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCyz0M39FzgR2_7L1EL4VMAQ","UCyz0M39FzgR2_7L1EL4VMAQ","TRUE","none","0","2019-07-09T18:07:37Z","2019-07-09T18:07:37Z","UgyNb8C07xn2nqfSfHh4AaABAg.8xAbks9m-f58xAeXXB2XvV","UgyNb8C07xn2nqfSfHh4AaABAg",NA
"1438","faUQnyuIb94","@phase4computer Tell that to Hope Solo who not only sought out the limelight but abused the platform afforded her by USWNT by grandstanding and picking flights. Naeher is exceptionally humble.","@phase4computer Tell that to Hope Solo who not only sought out the limelight but abused the platform afforded her by USWNT by grandstanding and picking flights. Naeher is exceptionally humble.","Michael O'Day","https://yt3.ggpht.com/a/AATXAJyunmThC-tgpg5FMwaAzYQg-dRoGIAZiI4QcA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCvSJVgtpIwqR4xTF6f9PZ_A","UCvSJVgtpIwqR4xTF6f9PZ_A","TRUE","none","2","2019-07-11T00:14:03Z","2019-07-11T00:14:03Z","Ugy5zD95TX6FYj9hehR4AaABAg.8xAbaUJnVeq8xDtGC2h55a","Ugy5zD95TX6FYj9hehR4AaABAg",NA
"1439","faUQnyuIb94","She was actually getting Angry !","She was actually getting Angry !","Steve Sanzari","https://yt3.ggpht.com/a/AATXAJycqHUk3cwGkhfVkfsFP9jU2CDhEorMp5xDww=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCZxUabREVs4T7slSDd5QUwQ","UCZxUabREVs4T7slSDd5QUwQ","TRUE","none","2","2019-07-10T18:01:29Z","2019-07-10T18:01:29Z","Ugy5zD95TX6FYj9hehR4AaABAg.8xAbaUJnVeq8xDDcRpy4ry","Ugy5zD95TX6FYj9hehR4AaABAg",NA
